,precision,recall,f1-score,support
0,0.1739,0.8889,0.2909,9.0000
1,0.0000,0.0000,0.0000,7.0000
2,0.0000,0.0000,0.0000,10.0000
3,0.0000,0.0000,0.0000,11.0000
4,0.0000,0.0000,0.0000,11.0000
accuracy,0.1667,0.1667,0.1667,0.1667
macro avg,0.0348,0.1778,0.0582,48.0000
weighted avg,0.0326,0.1667,0.0545,48.0000
