,precision,recall,f1-score,support
0,1.0000,0.3333,0.5000,6.0000
1,0.8095,0.8500,0.8293,20.0000
2,1.0000,1.0000,1.0000,1.0000
3,0.3333,0.2500,0.2857,4.0000
4,0.6667,0.6667,0.6667,3.0000
5,1.0000,0.8571,0.9231,7.0000
6,0.0000,0.0000,0.0000,4.0000
7,0.9091,1.0000,0.9524,10.0000
8,0.5000,0.8750,0.6364,8.0000
9,0.6250,0.6667,0.6452,15.0000
10,0.0000,0.0000,0.0000,2.0000
accuracy,0.7000,0.7000,0.7000,0.7000
macro avg,0.6221,0.5908,0.5853,80.0000
weighted avg,0.6999,0.7000,0.6810,80.0000
