,precision,recall,f1-score,support
0,0.6667,0.6667,0.6667,6.0000
1,0.9375,0.9375,0.9375,16.0000
2,1.0000,0.3333,0.5000,6.0000
3,0.6667,1.0000,0.8000,4.0000
4,0.8889,1.0000,0.9412,8.0000
5,1.0000,1.0000,1.0000,9.0000
6,0.5000,0.5000,0.5000,2.0000
7,0.7500,0.8571,0.8000,7.0000
8,0.7143,0.8333,0.7692,6.0000
9,0.7143,0.7143,0.7143,14.0000
10,1.0000,0.5000,0.6667,2.0000
accuracy,0.8125,0.8125,0.8125,0.8125
macro avg,0.8035,0.7584,0.7541,80.0000
weighted avg,0.8289,0.8125,0.8035,80.0000
