,precision,recall,f1-score,support
0,0.5833,0.8750,0.7000,8.0000
1,0.8571,0.5000,0.6316,12.0000
2,0.5556,0.5556,0.5556,9.0000
3,0.9091,0.8333,0.8696,12.0000
4,0.1111,0.1429,0.1250,7.0000
accuracy,0.6042,0.6042,0.6042,0.6042
macro avg,0.6032,0.5813,0.5763,48.0000
weighted avg,0.6592,0.6042,0.6143,48.0000
