,precision,recall,f1-score,support
0,0.7500,0.6000,0.6667,5.0000
1,0.8947,0.9444,0.9189,18.0000
2,0.8000,0.8000,0.8000,5.0000
3,0.8000,1.0000,0.8889,4.0000
4,1.0000,1.0000,1.0000,1.0000
5,0.8750,1.0000,0.9333,7.0000
6,0.8571,0.8571,0.8571,7.0000
7,1.0000,1.0000,1.0000,11.0000
8,1.0000,0.7778,0.8750,9.0000
9,0.8182,0.9000,0.8571,10.0000
10,1.0000,0.6667,0.8000,3.0000
accuracy,0.8875,0.8875,0.8875,0.8875
macro avg,0.8905,0.8678,0.8725,80.0000
weighted avg,0.8920,0.8875,0.8851,80.0000
