,precision,recall,f1-score,support
0,0.3333,1.0000,0.5000,9.0000
1,0.0000,0.0000,0.0000,6.0000
2,0.6000,0.1875,0.2857,16.0000
3,0.6000,0.6000,0.6000,10.0000
4,0.2500,0.1429,0.1818,7.0000
accuracy,0.3958,0.3958,0.3958,0.3958
macro avg,0.3567,0.3861,0.3135,48.0000
weighted avg,0.4240,0.3958,0.3405,48.0000
