,precision,recall,f1-score,support
0,0.3333,0.3333,0.3333,6.0000
1,0.6250,0.7143,0.6667,7.0000
2,0.3333,0.3333,0.3333,6.0000
3,0.4286,0.7500,0.5455,4.0000
4,0.2000,0.1111,0.1429,9.0000
accuracy,0.4062,0.4062,0.4062,0.4062
macro avg,0.3840,0.4484,0.4043,32.0000
weighted avg,0.3715,0.4062,0.3792,32.0000
