,precision,recall,f1-score,support
0,0.3333,0.8889,0.4848,9.0000
1,1.0000,0.1250,0.2222,8.0000
2,0.6250,0.4545,0.5263,11.0000
3,0.5714,0.7273,0.6400,11.0000
4,0.0000,0.0000,0.0000,9.0000
accuracy,0.4583,0.4583,0.4583,0.4583
macro avg,0.5060,0.4391,0.3747,48.0000
weighted avg,0.5033,0.4583,0.3952,48.0000
