,precision,recall,f1-score,support
0,0.2000,0.1429,0.1667,7.0000
1,0.6667,0.3333,0.4444,6.0000
2,0.0000,0.0000,0.0000,5.0000
3,0.6667,0.2500,0.3636,8.0000
4,0.2105,0.6667,0.3200,6.0000
accuracy,0.2812,0.2812,0.2812,0.2812
macro avg,0.3488,0.2786,0.2589,32.0000
weighted avg,0.3749,0.2812,0.2707,32.0000
